Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C23, C5",0603,3,1u,C15849
"C10, C11, C14, C2, C21, C26, C8, C9",0603,8,100n,C14663
"C12, C15, C16, C17, C18, C22, C27, C3",0603,8,4.7n,C106218
"C24, C4, C6",0603,3,100n,
"C25, C7",0805,2,10u,C15850
"C28, C29, C30, C31, C39, C40",0603,6,100pF,C14665
"C32, C33",0603,2,1.6nF,C437532
"C34, C35, C36, C37",0603,4,47nF,C285123
"C38, C41",0603,2,470nF,C1623
J2,Ckmtw-W-2510S06P_1x06_P2.54mm_Horizontal,1,Conn_01x06,C2982045
"R1, R2",0603,2,5.1k,C26000
R10,0603,1,10K,C25804
"R11, R12",0603,2,22R,C5139508
"U1, U2, U3, U4, U5, U6, U8, U9",SOT-23,8,MT9105ET,C967861
U10,TSSOP-16_4.4x5mm_P0.65mm,1,IPS2200,
"U11, U12, U7",TSSOP-10_3x3mm_P0.5mm,3,ADS1115IDGS,C37593
