Designator,Mid X,Mid Y,Rotation,Layer
C1,178.05,-53.454999,180.0,top
C10,76.057748,-160.67224,225.0,top
C11,54.424894,-112.966631,180.0,top
C12,169.425071,-160.656454,135.0,top
C14,169.419839,-60.349834,45.0,top
C15,172.863449,-63.807585,225.0,top
C16,120.249894,-178.971631,90.0,top
C17,72.543426,-157.200346,45.0,top
C18,54.544894,-108.046631,0.0,top
C2,72.513001,-63.859909,135.0,top
C21,120.189893,-42.016631,90.0,top
C22,125.129894,-42.026631,270.0,top
C23,175.960165,-71.835331,290.0,top
C24,177.479048,-71.271863,110.0,top
C25,178.976204,-149.380468,335.0,top
C26,191.174893,-108.021631,0.0,top
C27,191.164894,-112.901631,180.0,top
C28,186.366335,-90.310399,110.0,top
C29,182.514647,-84.900539,290.0,top
C3,75.956611,-60.331447,315.0,top
C30,187.244109,-87.895584,110.0,top
C31,188.719426,-87.358612,110.0,top
C32,191.103847,-89.945076,290.0,top
C33,193.410373,-85.651249,110.0,top
C34,185.528167,-74.607037,290.0,top
C35,184.066183,-75.168952,290.0,top
C36,181.936841,-75.94397,290.0,top
C37,180.512266,-76.462472,290.0,top
C38,189.817208,-81.253957,200.0,top
C39,190.371178,-82.72628,200.0,top
C4,178.052071,-54.935858,0.0,top
C40,188.270555,-77.165372,200.0,top
C41,188.82683,-78.629406,200.0,top
C5,176.213081,-151.776877,225.0,top
C6,177.287883,-152.837537,45.0,top
C7,54.674894,-104.686631,0.0,top
C8,172.889894,-157.191631,315.0,top
C9,125.129894,-178.971631,270.0,top
R1,193.143113,-92.957998,180.0,top
R10,181.395973,-81.82886,290.0,top
R11,190.33194,-86.771705,110.0,top
R12,191.943769,-86.18292,110.0,top
R2,191.843111,-94.547998,180.0,top
U1,74.542397,-62.396198,315.0,top
U10,185.076649,-81.307558,20.0,top
U11,179.091005,-154.697228,135.0,top
U12,178.06,-57.525,90.0,top
U2,170.839285,-158.605845,135.0,top
U3,170.826981,-62.400443,225.0,top
U4,122.689894,-178.521631,90.0,top
U5,74.601107,-158.635773,45.0,top
U6,122.664894,-42.471631,270.0,top
U7,181.829685,-72.114685,110.0,top
U8,54.634894,-110.506631,0.0,top
U9,190.719893,-110.466631,180.0,top
